filename,description
Edward Hopper/Intimate_Edward Hopper.jpg,"a painting of a gas station with a man standing in front of it
"
Edward Hopper/Nighthawks Diner_Edward Hopper.jpg,"a painting of two people sitting at a table
"
Edward Hopper/History Of Art_Edward Hopper.jpg,"a drawing of a man standing in front of a store
"
Edward Hopper/Connection_Edward Hopper.jpg,"a painting of a house on a hill with grass and trees
"
Edward Hopper/Le Pont Des_Edward Hopper.jpg,"a painting of a bridge over the seine
"
Edward Hopper/Snoopy_Edward Hopper.jpg,"the night before christmas by person
"
Edward Hopper/House At Eastham_Edward Hopper.jpg,"a painting of a white house in the middle of a field
"
Edward Hopper/Nighthawks_Edward Hopper.jpg,"edward hopper the bar at the end of the world
"
Edward Hopper/House By A Road_Edward Hopper.jpg,"a painting of a house on a country road
"
Edward Hopper/Loneliness_Edward Hopper.jpg,"a painting of a woman sitting at a table in front of a window
"
Edward Hopper/House By The Railroad_Edward Hopper.jpg,"edward hopper house, new york city, nyc, usa
"
Edward Hopper/High Noon_Edward Hopper.jpg,"edward hopper, 'the house on the hill', oil on canvas, 1956
"
Edward Hopper/Central Park_Edward Hopper.jpg,"a painting of a park with trees and a statue
"
Edward Hopper/Intimate_Edward Richter.jpg,"a painting of a barn on a hillside
"
Edward Hopper/Solitude_Edward Hopper.jpg,"a painting of a woman sitting in a room
"
Edward Hopper/Motion Edward Hopper.jpg,"a painting of people sitting in a train car
"
Edward Hopper/Painted_Edward Hopper.jpg,"edward hopper, the boy with the umbrella, oil on canvas, 48 x 48 inches
"
Edward Hopper/Automat_Edward Hopper.jpg,"a painting of a woman sitting at a table in front of a window
"
Edward Hopper/Figure_Edward Hopper.jpg,"a painting of a woman sitting on a bed in front of a window
"
Nandalal Bose/Seated Woman (1928).jpg,"an indian painting of a woman sitting on a chair
"
Nandalal Bose/Tiller of the soil Nandalal Bose.jpg,"a painting depicting a man riding a horse and a man on a horse
"
Nandalal Bose/Gharadvadan.jpg,"a painting of a woman with a pot on her head
"
Nandalal Bose/Gopini (1935)Nandala bose.jpg,"the art of india by person
"
Nandalal Bose/A lady with a lotus Nandalal Bose.jpg,"a painting of a woman sitting on a bench
"
Nandalal Bose/Manjira player Nandalal Bose.jpg,"an indian painting of a woman sitting on a chair
"
Nandalal Bose/SIngalwala Nandalal Bose.jpg,"a painting of a man playing a musical instrument
"
Nandalal Bose/Rati with her bow Nandalal Bose.jpg,"a painting of a woman with a bow and arrow
"
Nandalal Bose/Untitled_by_Nandalal_Bose.jpg,"a drawing of a chicken with a baby bird
"
Nandalal Bose/Darjeeling and fog Nandalal Bose.jpg,"a painting of a mountain with clouds in the sky
"
Nandalal Bose/Floating a canoe nandalal bose.jpg,"a drawing of two people on a surfboard
"
"Nandalal Bose/255px-Yama_And_Savitri,_from_a_painting_by_Nandalal_Bose.jpg","an illustration of a man and woman in a cave
"
Nandalal Bose/Pounding of rice Nandalal Bose.jpg,"a painting of a woman in a traditional dress
"
Nandalal Bose/Myths_of_the_Hindus_&_Buddhists_-_Kirat-Arjuna.jpg,"a painting of three people in the grass with a tree
"
Nandalal Bose/Annapurna (1943) Nandala bose.jpg,"the cover of a book with an image of a woman sitting on a horse
"
Nandalal Bose/Santiniketan Murals (1947).jpg,"a painting of a battle scene with people on horseback
"
Nandalal Bose/Buddha and the Lame Child (1915) Nandala bose.jpg,"the buddha and the tree
"
Nandalal Bose/Pith worker Nandalal Bose.jpg,"a painting of a woman and child sitting on a bench
"
Nandalal Bose/Sati (1943))Nandala bose.jpg,"a painting of a woman in white sitting on a rock
"
Nandalal Bose/Shakuntala (1937)Nandala bose.jpg,"a painting of two men fighting with a bull
"
Nandalal Bose/Damayanti Choosing Her Husband (1910) Nandala bose.jpg,"the story of radha and krishna
"
Nandalal Bose/Khajanai wall Nandalal Bose.jpg,"an indian painting depicting a man in a white robe
"
Nandalal Bose/Mangal Ghat.jpg,"a painting of a woman with a crown on her head
"
Nandalal Bose/Mangala asan Nandalal Bose.jpg,"a painting of a man sitting on a chair
"
Nandalal Bose/Dolan champa Nandalal Bose.jpg,"a painting of white flowers on a brown background
"
Nandalal Bose/Festival of Cakes (1914) nandala bose.jpg,"an oil painting of people in yellow dresses and hats
"
Nandalal Bose/Buddha on the Threshold of Renunciation (1915) Nandala bose.jpg,"the buddha and the tree
"
Nandalal Bose/Haripura Posters (1938)))Nandala bose.jpg,"an indian woman is holding a bowl in her hand
"
Anselm Kiefer/Occupations – Anselm Kiefer (1969).jpeg,"a man standing on top of a tree branch
"
Anselm Kiefer/Winter Landscape – Anselm Kiefer (1970.jpeg,"a painting of a man in a snow field with a red heart
"
Anselm Kiefer/Cockchafer Fly – Anselm Kiefer (1974).jpeg,"a painting of a field with black and white trees
"
Anselm Kiefer/The Rhine – Anselm Kiefer (1981).jpeg,"a painting on a wall with a frame
"
Anselm Kiefer/Heliogabalus – Anselm Kiefer (1974).jpeg,"a large painting on the wall in an empty room
"
Anselm Kiefer/Palmsonntag (Palm Sunday) – Anselm Kiefer (2006).jpeg,"a painting of a man laying on top of a pile of bricks
"
"Anselm Kiefer/Father, Son, Holy Ghost – Anselm Kiefer (1973).jpeg","two paintings of trees and a wooden building
"
Anselm Kiefer/Piet Mondrian—Operation Sea Lion – Anselm Kiefer (1975).jpeg,"a painting of a city with a bridge over it
"
Anselm Kiefer/Ways of Worldly Wisdom- Arminius’s Battle – Anselm Kiefer (1978–80).jpeg,"a drawing of people in a circle with black ink
"
Anselm Kiefer/Operation Sea Lion I – Anselm Kiefer (1975).jpeg,"a painting of a city with a bridge over it
"
Anselm Kiefer/Nothung – Anselm Kiefer (1973).jpeg,"the inside of a wooden house with a wooden floor
"
"Anselm Kiefer/Faith, Hope, Love – Anselm Kiefer (1973).jpeg","a painting of flowers on a wall in a museum
"
Anselm Kiefer/Heroic Symbols – Anselm Kiefer (1969).jpeg,"a drawing of a man standing on top of a hill
"
Anselm Kiefer/You’re a Painter – Anselm Kiefer (1969).jpeg,"a book opened to show a photo of a man and a woman
"
Anselm Kiefer/Man in the Forest – Anselm Kiefer (1971).jpeg,"a painting of a woman in the forest with a red flower
"
Anselm Kiefer/Landscape with Head – Anselm Kiefer (1973).jpeg,"an image of a painting with a woman in the middle
"
Anselm Kiefer/The Lake of Gennesaret – Anselm Kiefer (1974).jpeg,"a painting of a field with a circle in the middle
"
Anselm Kiefer/To the Unknown Painter – Anselm Kiefer (1983).jpeg,"a painting of a building with a red roof
"
Anselm Kiefer/The Fertile Crescent – Anselm Kiefer (2009).jpeg,"a painting of a building with people walking around it
"
Hans Arp/according-to-the-laws-of-chance-1933  Hans arp.jpg,"a black and white photograph of a black and white drawing
"
Hans Arp/terrestrial-forest-form-1917.jpg  Hans arp.jpg,"a painting with a green, red and blue shape
"
Hans Arp/relief-clock.jpg  Hans arp.jpg,"a book cover with a colorful object
"
Hans Arp/the-sun-recircled-1966.jpg  Hans arp.jpg,"a gray and black painting with a yellow and black circle
"
Hans Arp/geometric-collage.jpg   Hans arp.jpg,"a square with gold foil on it and a gold square
"
Hans Arp/before-my-birth-1914.jpg  Hans arp.jpg,"a painting with a bird and a piece of paper
"
Hans Arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-2.jpg! Hans arp.jpg,"the book cover for the book, the art of the japanese calligraphy
"
Hans Arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-4.jpg  Hans arp.jpg,"the book cover for the book, 'the art of the apple'
"
Hans Arp/configuration.jpg  Hans arp.jpg,"a painting with a yellow and blue face
"
Hans Arp/geometric-forms.jpg  Hans arp.jpg,"an abstract painting with orange, black and white shapes
"
Hans Arp/frond-and-navel.jpg  Hans arp.jpg,"a painting with a red, blue and black background
"
Hans Arp/270px-Hottingen_Hans_Arp_1915.jpg,"a painting hanging on the wall in a room
"
Hans Arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-6.jpg  Hans arp.jpg,"the book cover for the book of the same name
"
Hans Arp/automatic-drawing.jpg  Hans arp.jpg,"the cover of the book, the art of the cow
"
Hans Arp/abstract-composition.jpg  Hans arp.jpg,"an abstract painting with orange, yellow and red shapes
"
Hans Arp/idole.jpg  Hans arp.jpg,"a black and white framed drawing of a woman's head
"
Hans Arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-5.jpg  Hans arp.jpg,"the book cover for the book 'the art of the drawing '
"
Hans Arp/constellations.jpg  Hans arp.jpg,"a green and white abstract painting on a white background
"
Hans Arp/head-with-mustache.jpg  Hans arp.jpg,"a blue and white painting of a man with a white beard
"
Hans Arp/torn-up-woodcut-1954.jpg  Hans arp.jpg,"a drawing of a woman with a flower on her head
"
Hans Arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-1.jpg! Hans arp.jpg,"the cover of the book 'the art of the black and white photograph '
"
Hans Arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-3.jpg!  Hans arp.jpg,"the book cover for the book, the chinese calligraphy
"
Hans Arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-7.jpg  Hans arp.jpg,"the book cover for the book, the art of the body
"
Hans Arp/danger-of-death-t05007-1954.jpg  Hans arp.jpg,"a drawing of a man with a face on it
"
Hans Arp/abstract-composition-knossos.jpg  Hans arp.jpg,"a blue and white abstract painting on paper
"
Hans Arp/Dada_4-5_Zurich-1919-Collage_et_bois_gravé_de_Arp_en_couverture_LB.4-0531_mb.jpg,dada by dada by dada by dada by dada by dada by dada by dada by dada by dada by dada by dada by dada by dada by dada by dada by dada
Hans Arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918.jpg Hans arp.jpg,"the book cover for the book, the art of the chinese calligraphy
"
Hans Arp/squares-or-rectangles-arranged-according-to-laws-of-change-1917.jpg  Hans arp.jpg,"a black and white painting of squares and squares
"
"Hans Arp/209px-Jean_Arp,_391,_No._8,_Zurich,_February_1919.jpg","an abstract sculpture with a black and white photo
"
Hans Arp/abstract-composition.jpg Hans arp.jpg,"an abstract painting with orange, yellow and red shapes
"
"Frans Hals/Portrait of a Man, Frans Hals, 1635, Baroque.jpg","a painting of a man in a black hat and black coat
"
"Frans Hals/Young Man Holding a Skull, Frans Hals, 1626, Baroque.jpg","a painting of an older woman with a white collar
"
"Frans Hals/Portrait of a Woman, Frans Hals, 1635, Baroque.jpg","a painting of a woman in a red dress with a white collar
"
"Frans Hals/A Man with a Beer Jug, Frans Hals, 1630, Baroque.jpg","a painting of men in black and white standing in front of a building
"
"Frans Hals/Portrait of a Woman with a Fan, Frans Hals, 1640, Baroque.jpg","a painting of a man with a beard and a white collar
"
"Frans Hals/Portrait of a Man Holding a Skull, Frans Hals, 1626, Baroque.jpg","a painting of a man holding a skull
"
"Frans Hals/Jacobus Zaffius, Frans Hals, 1611, Baroque.jpg","a painting of an older man wearing a fur collar
"
"Frans Hals/The Merry Drinker, Frans Hals, 1628, Baroque.jpg","a painting of a man with a hat and a long beard
"
"Frans Hals/Malle Babbe, Frans Hals, 1633, Baroque.jpg","a painting of a woman with a bird on her shoulder
"
"Frans Hals/Theodorus Schrevelius, Frans Hals, 1617, Baroque.jpg","a painting of a man with a beard holding a book
"
"Frans Hals/Buffoon Playing a Lute, Frans Hals, 1625, Baroque.jpg","a painting of a man in a striped shirt holding a guitar
"
"Frans Hals/Regents of the Old Men_s Almshouse, Frans Hals, 1664, Baroque.jpg","a painting of a group of men in black and white
"
"Frans Hals/Laughing Cavalier, Frans Hals, 1624, Baroque.jpg","a painting of a man with a beard and a white lace collar
"
"Frans Hals/The Smoker, Frans Hals, 1625, Baroque.jpg","a painting of two children with a pipe
"
"Frans Hals/Willem van Heythuysen, Frans Hals, 1625, Baroque.jpg","a painting of a man in black with a white collar
"
"Frans Hals/Portrait of a Man (Version 1), Frans Hals, 1635, Baroque.jpg","a painting of a man in black and white
"
"Frans Hals/Paulus van Beresteyn, Frans Hals, 1620, Baroque.jpg","a painting of a man in black with a white collar
"
"Frans Hals/Anetta Hanemans, Frans Hals, 1625, Baroque.jpg","a painting of a woman in a black dress with a white collar
"
"Frans Hals/Portrait of a Man (Version 2), Frans Hals, 1635, Baroque.jpg","a painting of a man in black holding a camera
"
"Frans Hals/Banquet of the Officers of the St. George Militia Company, Frans Hals, 1616, Baroque.jpg","a painting of a woman in black and white
"
"Frans Hals/Boy with a Skull, Frans Hals, 1626, Baroque.jpg","a painting of a man holding a skull
"
"Frans Hals/Boy Playing a Violin, Frans Hals, 1626, Baroque.jpg","a painting of a boy playing the violin
"
"Frans Hals/Pieter Cornelisz van der Morsch, Frans Hals, 1616, Baroque.jpg","a painting of a man holding a piece of meat
"
"Frans Hals/Peeckelhaering, Frans Hals, 1628, Baroque.jpg","a painting of a man with a cup and a knife
"
"Frans Hals/Group of Children, Frans Hals, 1628, Baroque.jpg","a painting of three children and a goat
"
"Frans Hals/Two Boys Singing, Frans Hals, 1625, Baroque.jpg","a painting of two boys playing the lute
"
"Frans Hals/Catharina Both van der Eem, Frans Hals, 1635, Baroque.jpg","a painting of a woman in black with a white collar
"
"Frans Hals/The Lute Player, Frans Hals, 1623, Baroque.jpg","a painting of a boy playing a lute
"
"Frans Hals/Catharina Hooft with her Nurse, Frans Hals, 1620, Baroque.jpg","a painting of a woman holding a child
"
"Frans Hals/The Head of a Boy, Frans Hals, 1630, Baroque.jpg","a painting of a boy with curly hair
"
"Frans Hals/Saint Matthew, Frans Hals, 1625, Baroque.jpg","a painting of an old man reading a book
"
"Frans Hals/Singing Boy with a Flute, Frans Hals, 1623, Baroque.jpg","a painting of a boy with a feather on his head
"
Jamini roy Rama/jamini-roy-mother-and-child.jpg,"a painting of a mother and child
"
"Jamini roy Rama/jamini-roy-untitled,-street-scene.jpg","a painting of trees and buildings in a city
"
Jamini roy Rama/jamini-roy-untitled-(tagore-and-gandhi).jpg,"a painting of two men in a room
"
Jamini roy Rama/jamini-roy-untitled (4).jpg,"a painting of a woman and child in a boat
"
Jamini roy Rama/jamini-roy-five-figures.jpg,"the four kings of the bible
"
Jamini roy Rama/jamini-roy-untitled-(figure).jpg,"an indian painting with a woman in a red dress
"
Jamini roy Rama/jamini-roy-untitled-(seated-lady).jpg,"a painting of a woman sitting on a bench
"
Jamini roy Rama/jamini-roy-untitled-(lady-with-flower).jpg,"a painting of a woman holding a flower
"
Jamini roy Rama/jamini-roy-untitled-(krishna-and-balarama).jpg,"two figures in a mosaic painting on a red background
"
Jamini roy Rama/jamini-roy-untitled(gopini).jpg,"three women dancing in a traditional indian style
"
Jamini roy Rama/jamini-roy-cash-box.jpg,"a wooden box with indian women on it
"
Jamini roy Rama/jamini-roy-untitled-(pujarin).jpg,"an indian painting with a woman holding a plate
"
Jamini roy Rama/jamini-roy-untitled (1).jpg,"a painting of a man holding a bird
"
Jamini roy Rama/jamini-roy-untitled (6).jpg,"a painting of a woman in a white robe
"
Jamini roy Rama/jamini-roy-untitled-(two-cats-with-shrimp).jpg,"a painting with two cats on it
"
Jamini roy Rama/jamini-roy-untitled-(house).jpg,"a painting of a house with a yellow roof
"
Jamini roy Rama/jamini-roy-untitled-(tribal-women).jpg,"three indian women in traditional dress
"
Jamini roy Rama/jamini-roy-untitled-three-musicians.jpg,"three indian men with drums on a brown background
"
"Jamini roy Rama/jamini-roy-black-horse,-1950.jpg","a painting of a horse with a red and black background
"
Jamini roy Rama/jamini-roy-portrait.jpg,"a painting of a buddha with a beard and beard
"
Jamini roy Rama/jamini-roy-untitled-(drummer-with-santhals).jpg,"an indian painting depicting three women
"
Jamini roy Rama/jamini-roy-untitled (3).jpg,"a painting of indian deities surrounded by fire
"
Jamini roy Rama/jamini-roy-untitled (5).jpg,"a painting with flowers on a red background
"
Jamini roy Rama/jamini-roy-untitled-(three-women).jpg,"an indian painting with three women
"
Jamini roy Rama/jamini-roy-balakrishna.jpg,"an indian painting depicting a cow and a man
"
Jamini roy Rama/jamini-roy-untitled-(gopini-dancing).jpg,"a painting of a yellow and green figure
"
Jamini roy Rama/jamini-roy-untitled.jpg,"an old painting of two people and a cow
"
Jamini roy Rama/jamini-roy-untitled (2).jpg,"two women are sitting on a wooden frame
"
Jamini roy Rama/jamini-roy-untitled-(last-supper).jpg,"a painting of a group of people with different colored faces
"
Jamini roy Rama/jamini-roy-blue-man-standing-in-profile.jpg,"a painting of a woman with a hat and a bag
"
"Henri Rousseau/Exotic Landscape, 1908 by Henri Rousseau.jpg","a painting of a jungle scene with people and animals
"
"Henri Rousseau/A Centennial of Independence ,1892- by henri Rousseau.jpg","a painting of people dancing in front of a tree
"
"Henri Rousseau/Banks of the Oise,1905- By Henri Rousseau.jpg","a painting of two boats on a river with trees
"
Henri Rousseau/Henri Rousseau (le Douanier).jpg,"a painting of a monkey in the jungle with flowers
"
"Henri Rousseau/Exotic Landscape,1908- By Henri Rousseau.jpg","a painting of people in the jungle with plants
"
"Henri Rousseau/Flowers, 1895- By Henri Rousseau.jpg","a painting of a vase with flowers on a table
"
"Henri Rousseau/Chair Factory,1897- by Henri Rousseau.jpg","a painting of a building with a red roof and a white building
"
"Henri Rousseau/The Waterfall, 1910 by Henri Rousseau.jpg","a painting of a jungle scene with people and animals
"
"Henri Rousseau/Exotic Landscape Fight-between Gorilla and-Indian ,1910- By Henri Rousseau.jpg","a painting of a jungle scene with a man and woman
"
"Henri Rousseau/A Country Wedding,1904- by Henri Rousseau.jpg","a painting of a family with a dog and a man in a suit
"
"Henri Rousseau/Avenue in the Park at Saint Cloud,1908- henri Rousseau.jpg","a painting of people walking down a path between trees
"
Henri Rousseau/The Sleeping Gypsy (1897) (Oil on Canvas).jpg,"a painting of a lion and a man laying on the ground
"
"Henri Rousseau/myself, a Portrait-Landscape, oil on canvas by Henri Rousseau, 1890.jpg","a painting of a man in a suit standing on a road
"
"Henri Rousseau/The Equatorial Jungle, 1909 by Henri Rousseau.jpg","a painting of a jungle
"
"Henri Rousseau/Carmagnole,1893- by Henri Rousseau.jpg","a painting of people walking in a field with flags
"
"Henri Rousseau/Boy on the Rocks, 1895 by Henri Rousseau.jpg","a painting of a boy sitting on top of a rock
"
Henri Rousseau/Henri Rousseau the Naïve Genius of the Jungle.jpg,"a painting of a tiger in the jungle
"
"Henri Rousseau/Combat of a Tiger and a Buffalo, 1909 by Henri Rousseau.jpg","a painting of a jungle scene with yellow flowers
"
"Henri Rousseau/Anglers Pecheurs a la ligne, 1908 -By henri Rousseau.jpg","a painting of people on a hill with a plane flying overhead
"
"Henri Rousseau/Carnival Evening, 1886 by Henri Rousseau.jpg","a painting of two people walking in the woods
"
Banksy/Banksy_Peaceful Hearts Doctor_2010_Graffiti.jpg,"a man with a briefcase and a peace sign
"
Banksy/Banksy_Game Changer_2020_Graffiti.png,"a drawing of a boy holding a toy in his hand
"
Banksy/Banksy_Rat with 3D Glasses_2010_Graffiti.jpg,"a rat with 3d glasses on its head
"
Banksy/Banksy_Show Me the Monet_2005_Graffiti.jpg,"a painting of a bridge over a pond with a shopping cart
"
Banksy/Banksy_Power Washer_2008_Graffiti.jpg,"a man with a hose spraying paint on a wall
"
Banksy/Banksy_Ferris Wheel_2017_Graffiti.jpg,"a black and white drawing of a ferris wheel with a man and a woman
"
Banksy/Banksy_Original Thought_2013_Graffiti.jpg,"banksy's one thought is worth a thousand mindless giving
"
Banksy/Banksy_Mean Real Estate Developer_2018_Graffiti.jpg,"a man is walking on a wall with a red arrow
"
Banksy/Banksy_Boxhead Paints Robot_2010_Graffiti.jpg,"a painting of a robot and a man on the side of a building
"
Banksy/Banksy_Security Guard with Koons Dog_2010_Graffiti.jpg,"a painting of a police officer with a pink balloon
"
Banksy/Banksy_Donkey with Soldier_2007_Graffiti.jpeg,"a graffiti painting of a soldier and donkey
"
Banksy/Banksy_Nola_2008_Graffiti.jpg,"a girl holding an umbrella in front of a wall
"
Banksy/Banksy_Girl with Rat_2008_Graffiti.png,"a graffiti painting of a girl on a phone and a rat on a stool
"
Banksy/Banksy_Cameraman and Flower_2010_Graffiti.jpg,"banksy's 'girl with a flower' is a tribute to the women who have been killed by men
"
Banksy/Banksy_Bubble Slide Girl_2008_Graffiti.jpg,"a stencil of a child sitting on a wall
"
Banksy/Banksy_Girl with Diver_s Outfit_2004_Graffiti.jpg,"a graffiti painting of a little girl holding a heart
"
Banksy/Banksy_1968 Rat_2018_Graffiti.png,"banksy rat with a red bow on its head
"
Banksy/Banksy_Art Buff_2014_Graffiti.jpg,"a graffiti painting of a man looking at a column
"
Banksy/Banksy_Raft of Refugees_2015_Graffiti.jpg,"banksy - the end of the line
"
Banksy/Banksy_Tagging Robot_2013_Graffiti.png,"a graffiti painting of a robot holding a barcode
"
Banksy/Banksy_Waiting in Vain_2013_Graffiti.jpg,"a man holding flowers in a suit
"
Banksy/Banksy_Rage The Flower Thrower_2005_Graffiti.jpg,"a man walking past a graffiti of a man holding flowers
"
Banksy/Banksy_Tagger Leopard_2008_Graffiti.jpg,"a large painting of a tiger on a wall
"
Banksy/Banksy_Man with Dog_2018_Graffiti.png,"banksy's dog and man painting
"
Banksy/Banksy_Armored Dove_2007_Graffiti.jpg,"palestinian graffiti on the wall of a building in jerusalem
"
Banksy/Banksy_Tag Viewers_2010_Graffiti.jpg,"a graffiti painting of two men and a child
"
Banksy/Banksy_Bronx Zoo_2013_Graffiti.jpg,"banksy's 'the beast'
"
Banksy/Banksy_Hammer Boy_2013_Graffiti.jpg,"banksy's 'the boy with the broom'
"
Banksy/Banksy_Love Plane_2011_Graffiti.jpg,"a white heart drawn on a wall in the middle of a parking lot
"
Banksy/Banksy_Unwelcome Intervention_2005_Graffiti.jpg,"banksy's 'the wall' in palestine
"
Joan Miro/Figures and Dog in Front of the Sun_joan miro.jpg,"a painting with a black and red figure
"
"Joan Miro/Painting (Women, Moon, Stars)_joan miro.jpg","joan miro, 'the moon and the stars', 1947
"
Joan Miro/Women and Birds at Sunrise_joan miro.jpg,"a painting with a bird and a man in it
"
Joan Miro/The Ladders Cross the Blue Sky in a Wheel of Fire_joan miro.jpg,"a painting with a bird and a bird on it
"
Joan Miro/The Flight of the Dragonfly in Front of the Sun_joan miro.jpg,"a painting with a red and blue circle
"
Joan Miro/The Singing Fish_joan miro.jpg,"a painting with a bird and a hat on it
"
Joan Miro/The Magic of Color_joan miro.jpg,"a painting with a bird and a bird on it
"
Joan Miro/The Beautiful Bird Revealing the Unknown to a Pair of Lovers_joan miro.jpg,"a painting with a face and eyes on it
"
Joan Miro/People and Dog in Sun_joan miro.jpg,"a painting with a woman and a red hat
"
Joan Miro/The Red Sun_joan miro.jpg,"a painting of a red ball in a blue bowl
"
Joan Miro/The Birth of the World_joan miro.jpg,"a painting with a red balloon and a bird
"
Joan Miro/Constellation Awakening in the Early Morning_joan miro.jpg,"a painting with many different shapes and colors
"
Joan Miro/Woman and Bird_joan miro.jpg,"a painting with colorful splatters and shapes
"
Joan Miro/The Garden_joan miro.jpg,"a painting with colorful shapes and animals
"
Joan Miro/Figures and Birds_joan miro.jpg,"a painting with a blue and orange cat and a dog
"
Joan Miro/The Smile of the Flamboyant Wings_joan miro.jpg,"a painting with a red balloon and a man in a red hat
"
Joan Miro/Carnival of Harlequin_joan miro.jpg,"a painting with various objects and people in it
"
Joan Miro/Constellation Woman in the Night_joan miro.jpg,"an abstract painting with blue, orange and black shapes
"
Joan Miro/The Escape Ladder_joan miro.jpg,"a painting with various shapes and colors
"
Joan Miro/Sun and Moon_joan miro.jpg,"a painting with a blue and yellow bird on it
"
Joan Miro/Blue II_joan miro.jpg,"a painting with black dots and red lines on a blue background
"
Joan Miro/Dog Barking at the Moon_joan miro.jpg,"a painting of a cow and a dog on a black background
"
Joan Miro/The Gold of the Azure_joan miro.jpg,"a painting with a blue sphere and black dots
"
Sonia Delaunay/Purpose Of Trans_Sonia Delaunay.jpg,"a multi - colored book with a folded piece of paper
"
Sonia Delaunay/Le Serpent Noir_Sonia Delaunay.jpg,"an abstract painting with a black, red, blue and white design
"
Sonia Delaunay/Portuguese Market_Sonia Delaunay.jpg,"a painting of an abstract painting with fruit and other objects
"
Sonia Delaunay/Fabric Pattern_Sonia Delaunay(1).jpg,"a painting of a colorful polka dot pattern on a black background
"
Sonia Delaunay/Light Study_Sonia Delaunay.jpg,"a drawing of a colorful circle with a red, blue, yellow and green color
"
Sonia Delaunay/Abstract Swirl_Sonia Delaunay.jpg,"a painting of a circular design with red, green, blue and black circles
"
Sonia Delaunay/Market At Minho_Sonia Delaunay(1).jpg,"a painting of people in a colorful scene
"
Sonia Delaunay/Triptych_Sonia Delaunay.jpg,"an abstract painting with circles, triangles and circles
"
Sonia Delaunay/Dubonnet_Sonia Delaunay(1).jpg,"dubone - the sun is shining on sunday
"
Sonia Delaunay/Rythme Colore_Sonia Delaunay.jpg,"a painting with a black, red, green, blue and yellow circle
"
Sonia Delaunay/Philomene_Sonia Delaunay.jpg,"a painting of a woman in red with flowers
"
Sonia Delaunay/Fabric Pattern_Sonia Delaunay.jpg,"a painting of a colorful polka dot pattern on a black background
"
Sonia Delaunay/Light Study_Sonia Delaunay(1).jpg,"a drawing of a colorful circle with a red, blue, yellow and green color
"
Sonia Delaunay/Soupault_Sonia Delaunay.jpg,"an abstract painting with a blue, orange, green and red circle
"
Sonia Delaunay/Abstract Swirl_Sonia Delaunay(1).jpg,"a painting of a circular design with red, green, blue and black circles
"
Sonia Delaunay/Poster_Sonia Delaunay.jpg,"a poster with the words sonia delaunay on it
"
"Sonia Delaunay/Dansuese, Deuxiem_Sonia Delaunay(1).jpg","an abstract painting with circles and circles
"
Sonia Delaunay/Dubonnet_Sonia Delaunay.jpg,"dubone - the sun is shining on sunday
"
"Sonia Delaunay/Dansuese, Deuxiem_Sonia Delaunay.jpg","an abstract painting with circles and circles
"
Sonia Delaunay/Philomene_Sonia Delaunay(1).jpg,"a painting of a woman in red with flowers
"
Sonia Delaunay/Electric Prisms_Sonia Delaunay.jpg,"a painting with a circular shape and colorful shapes
"
Sonia Delaunay/Simultaneous Dress_Sonia Delaunay(1).jpg,"a painting of three women in different outfits
"
Sonia Delaunay/Color Rythem_Sonia Delaunay.jpg,"a painting of a square with red, green, blue, and yellow squares
"
Sonia Delaunay/Rythme Couleur_Sonia Delaunay.jpg,"an abstract painting with a circle and a circle
"
Sonia Delaunay/Portuguese Market_Sonia Delaunay(1).jpg,"a painting of an abstract painting with fruit and other objects
"
Sonia Delaunay/Rythme Colore_Sonia Delaunay(1).jpg,"a painting with a black, red, green, blue and yellow circle
"
Sonia Delaunay/Finlandaise_Sonia Delaunay.jpg,"a painting of a girl with a blue face
"
Sonia Delaunay/Simultaneous Dress_Sonia Delaunay.jpg,"a painting of three women in different outfits
"
Sonia Delaunay/Market At Minho_Sonia Delaunay.jpg,"a painting of people in a colorful scene
"
Sonia Delaunay/Le Bal Bullier_Sonia Delaunay.jpg,"abstract painting with colorful shapes on a white background
"
Sonia Delaunay/Flamenco Dancer_Sonia Delaunay.jpg,"a painting of a woman in a colorful dress
"
K.G. Subramanyan/Pots of flowers_K.G. Subramanyan.jpg,"a painting of a cow and plants in a room
"
K.G. Subramanyan/Black Boys Fight with Demons _ K.G. Subramanyan.jpg,"the painting shows a woman and a man in a room
"
K.G. Subramanyan/Orange Man_K.G. Subramanyan.jpg,"a painting of a woman in orange and white
"
K.G. Subramanyan/Red ma_K.G. Subramanyan.jpg,"a poster with a woman holding a sword and a spear
"
K.G. Subramanyan/balcony_K.G. Subramanyan.jpg,"a painting of a tropical garden with chairs and a table
"
K.G. Subramanyan/Woman_K.G. Subramanyan.jpg,"a painting of a woman with a red nose and yellow eyes
"
K.G. Subramanyan/Untitled (Girl with Sunflower) _ K.G. Subramanyan.jpg,"a painting of a woman with flowers and a vase
"
K.G. Subramanyan/deer_K.G. Subramanyan.jpg,"a painting of a goat and flowers on a wall
"
